Algorithm,Disease,Valid,Train Loss,Test Loss,Test Accuracy,AUC,Timestamp,description
raw+early_stopping,Cirrhosis,True,0.2586973160505295,0.38327664136886597,83.33333333333333,0.9276895943562611,2024-11-10 13:15:14.611818,
raw+early_stopping,Cirrhosis,True,0.6908998092015585,0.6835780143737793,60.416666666666664,0.8348457350272231,2024-11-10 13:15:15.611812,
raw+early_stopping,Cirrhosis,True,0.3389645765225093,0.45450592041015625,83.33333333333333,0.8601398601398602,2024-11-10 13:15:22.510892,
raw+early_stopping,Cirrhosis,True,0.25850814084211987,0.4428388774394989,83.33333333333333,0.916083916083916,2024-11-10 13:15:31.637571,
raw+early_stopping,Cirrhosis,True,0.6950229605038961,0.690306544303894,56.25,0.7724867724867724,2024-11-10 13:15:32.640067,
raw+early_stopping,CRC,True,0.386185958981514,0.6005704998970032,73.91304347826087,0.7222222222222222,2024-11-10 13:15:39.084051,
raw+early_stopping,CRC,True,0.41768352687358856,0.6239532232284546,60.869565217391305,0.675,2024-11-10 13:15:45.506124,
raw+early_stopping,CRC,True,0.6909613609313965,0.6949672698974609,34.78260869565217,0.7166666666666667,2024-11-10 13:15:46.223883,
raw+early_stopping,CRC,True,0.6918042302131653,0.686041533946991,56.52173913043478,0.7076923076923077,2024-11-10 13:15:47.439894,
raw+early_stopping,CRC,True,0.42185792326927185,0.6318115592002869,60.869565217391305,0.7196969696969697,2024-11-10 13:15:53.871127,
raw+early_stopping,CRC_AUS,True,0.3119655456393957,0.6456530392169952,73.91304347826087,0.7693244065733413,2024-11-10 13:16:04.138727,
raw+early_stopping,CRC_AUS,True,0.3303832523524761,0.6053532063961029,67.82608695652173,0.7624242424242424,2024-11-10 13:16:14.414716,
raw+early_stopping,CRC_AUS,True,0.3747844882309437,0.6653943061828613,67.82608695652173,0.7300242130750605,2024-11-10 13:16:22.768716,
raw+early_stopping,CRC_AUS,True,0.2983018644154072,0.573419988155365,70.43478260869566,0.7858439201451906,2024-11-10 13:16:32.808992,
raw+early_stopping,CRC_AUS,True,0.2989475280046463,0.5823120772838593,73.91304347826087,0.8044794188861987,2024-11-10 13:16:43.135045,
raw+early_stopping,CRC_CHI,True,0.6941281408071518,0.6897688210010529,56.52173913043478,0.7538461538461538,2024-11-10 13:16:45.571103,
raw+early_stopping,CRC_CHI,True,0.695050410926342,0.6907475888729095,54.78260869565217,0.7411477411477412,2024-11-10 13:16:47.925834,
raw+early_stopping,CRC_CHI,True,0.32092538103461266,0.613052636384964,69.56521739130434,0.7675544794188862,2024-11-10 13:16:57.695834,
raw+early_stopping,CRC_CHI,True,0.3940633237361908,0.6672077476978302,65.21739130434783,0.7030871670702179,2024-11-10 13:17:06.181534,
raw+early_stopping,CRC_CHI,True,0.29090601578354836,0.5966933369636536,69.56521739130434,0.7966101694915254,2024-11-10 13:17:17.028444,
raw+early_stopping,CRC_FRA,True,0.34047839418053627,0.6190921068191528,69.56521739130434,0.7712121212121212,2024-11-10 13:17:26.240939,
raw+early_stopping,CRC_FRA,True,0.29660193994641304,0.6724633574485779,66.08695652173913,0.7501517911353976,2024-11-10 13:17:35.477013,
raw+early_stopping,CRC_FRA,True,0.29243731684982777,0.545690506696701,71.30434782608695,0.8106473079249849,2024-11-10 13:17:45.371930,
raw+early_stopping,CRC_FRA,True,0.29674313217401505,0.6492594480514526,69.56521739130434,0.7687651331719128,2024-11-10 13:17:56.365781,
raw+early_stopping,CRC_FRA,True,0.30863705091178417,0.47464877367019653,78.26086956521739,0.8581367211131276,2024-11-10 13:18:10.355047,
raw+early_stopping,CRC_GER,True,0.2670228090137243,0.5897629261016846,76.52173913043478,0.8014571948998178,2024-11-10 13:18:28.647148,
raw+early_stopping,CRC_GER,True,0.6917732432484627,0.6957063972949982,41.73913043478261,0.7605721393034826,2024-11-10 13:18:31.537994,
raw+early_stopping,CRC_GER,True,0.690189003944397,0.6912209391593933,54.78260869565217,0.7628205128205128,2024-11-10 13:18:34.786444,
raw+early_stopping,CRC_GER,True,0.6918854340910912,0.695120096206665,41.73913043478261,0.7319651741293531,2024-11-10 13:18:37.265172,
raw+early_stopping,CRC_GER,True,0.3553456924855709,0.6610758006572723,65.21739130434783,0.6958105646630237,2024-11-10 13:18:48.296498,
raw+early_stopping,CRC_IND,True,0.20768302865326405,0.6185062825679779,73.4375,0.8214896214896216,2024-11-10 13:18:56.263125,
raw+early_stopping,CRC_IND,True,0.2457632627338171,0.72412970662117,69.53125,0.7636944239744535,2024-11-10 13:19:03.529022,
raw+early_stopping,CRC_IND,True,0.29421186447143555,0.6350380778312683,71.875,0.7840597758405977,2024-11-10 13:19:10.066117,
raw+early_stopping,CRC_IND,True,0.31603772565722466,0.7550370395183563,71.09375,0.7847847847847848,2024-11-10 13:19:16.605134,
raw+early_stopping,CRC_IND,True,0.2629242856055498,0.7653402090072632,67.96875,0.7324046920821115,2024-11-10 13:19:23.949691,
raw+early_stopping,CRC_USA,True,0.6943109259009361,0.6910223662853241,52.17391304347826,0.7706060606060605,2024-11-10 13:19:26.878409,
raw+early_stopping,CRC_USA,True,0.6911268457770348,0.6914875209331512,58.26086956521739,0.7003676470588235,2024-11-10 13:19:29.967696,
raw+early_stopping,CRC_USA,True,0.31346387416124344,0.6505683958530426,66.08695652173913,0.7389594676346037,2024-11-10 13:19:41.037079,
raw+early_stopping,CRC_USA,True,0.2701607830822468,0.5730763077735901,71.30434782608695,0.81253804017042,2024-11-10 13:19:53.147243,
